,title,description,originallink,link,pubDate
797,"박은빈♥강태오, 제주도 눈물의 이별 그 후..아련 눈빛 &apos;후유증&apos;(&apos;우영우&apos;)","&apos;이상한 변호사 우영우&apos; 박은빈, 강태오가 이별 후유증을 겪는다. ENA채널 &apos;이상한 변호사 우영우&apos;(연출 유인식, 극본 문지원, 제작 에이스토리·KT스튜디오지니·낭만크루) 측은 16일, 제주도 출장에서 돌아온 우영우(박은빈... ",http://sports.chosun.com/news/ntype.htm?id=202208170100111970006854&servicedate=20220816,https://n.news.naver.com/mnews/article/076/0003905218?sid=106,"Tue, 16 Aug 2022 12:06:00 +0900"
798,"이런 돌봄, 엄마들 우왕좌왕하지 않아 좋겠네 [소셜 코리아]",요즘 인기 드라마 <이상한 변호사 우영우>에서 어린이 해방군 총사령관을 연기한 구교환 배우는 &apos;1. 어린이는 놀아야 한다. 2. 어린이는 건강해야 한다. 3. 어린이는 행복해야 한다&apos;라고 외친다. 드라마가 의도하지는... ,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002857568&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://n.news.naver.com/mnews/article/047/0002363053?sid=102,"Tue, 16 Aug 2022 12:02:00 +0900"
799,"강태오, ♥박은빈 마음 돌리나…&apos;고래커플&apos; 재회 가능성 有? (우영우)","&apos;우영우&apos; 박은빈, 강태오가 이별 후유증을 겪는다. ENA채널 수목드라마 ‘이상한 변호사 우영우’(이하 &apos;우영우&apos;) 측은 16일, 제주도 출장에서 돌아온 우영우(박은빈 분)와 이준호(강태오)의 달라진 일상을 공개했다. 서로의... ",https://www.xportsnews.com/article/1618215,https://n.news.naver.com/mnews/article/311/0001489054?sid=106,"Tue, 16 Aug 2022 12:00:00 +0900"
800,통신사 ‘갤Z4’ 사전예약 개시...‘우영우 에디션’ 등 한정판 전략,KT는 최근 인기를 끌고 있는 드라마 이상한 변호사 우영우를 활용한 한정판을 내놨다. 우영우 에디션은 갤럭시Z플립4의 화이트 색상과 함께 우영우 캐릭터가 그려진 피크닉 매트와 머그컵이 동봉돼 있다.KT도... ,https://vop.co.kr/A00001618002.html,https://vop.co.kr/A00001618002.html,"Tue, 16 Aug 2022 11:56:00 +0900"
801,한시련 2022년 8월 3주차 넷플릭스 화면해설 프로그램 안내,변호사 우영우 11~12회 (신규) 드라마 환혼 7~8회 드라마 D.P. 6편 드라마 60일 지정생존자 16편 드라마 YG전자... 변호사 우영우 12편 드라마 이태원 클라쓰 16편 드라마 인간수업 10편 드라마 종이의 집 공동경제구역 6편... ,http://www.ablenews.co.kr/News/NewsContent.aspx?CategoryCode=0002&NewsCode=000220220816110841847066,http://www.ablenews.co.kr/News/NewsContent.aspx?CategoryCode=0002&NewsCode=000220220816110841847066,"Tue, 16 Aug 2022 11:56:00 +0900"
802,[인터뷰365 선정 &apos;굿피플 베스트10&apos;(25)] 현은경 간호사·서명숙 이사장·배우...,"변호사 우영우&apos; 박은빈 배우(사진)와 문지원 작가 ▲노숙인의 천사, 쪽방촌 여자 슈바이처로 사는 최영아... 변호사 우영우&apos; 박은빈 배우와 문지원 작가, &apos;노숙인의 천사, 쪽방촌 여자 슈바이처&apos;로 사는 최영아 내과... ",http://www.interview365.com/news/articleView.html?idxno=103039,http://www.interview365.com/news/articleView.html?idxno=103039,"Tue, 16 Aug 2022 11:52:00 +0900"
803,"월 9900원에 콘텐츠 2만편...KT스카이라이프, &apos;99월정액&apos; 출시","주요 편성작으로는 △최고 시청률 15.8%를 기록한 &apos;이상한 변호사 우영우&apos; △장삐쭈 원작의 군대 리얼 드라마 &apos;신병&apos; △ENA 인기 콘텐츠 애로부부, 강철부대, 구필수는 없다 △인기 영화 스파이더맨 시리즈, 모가디슈... ",https://www.ajunews.com/view/20220816112605050,https://www.ajunews.com/view/20220816112605050,"Tue, 16 Aug 2022 11:30:00 +0900"
804,"&apos;우영우&apos; 강태오, 박은빈 마음 돌릴까…고래커플 운명은?","장인영 인턴 기자 = &apos;이상한 변호사 우영우&apos;에서 박은빈, 강태오가 이별 후유증을 겪는다. ENA채널 수목드라마 &apos;이상한 변호사 우영우&apos; 측은, 제주도 출장에서 돌아온 우영우(박은빈 분)와 이준호(강태오 분)의 달라진 일상을... ",http://www.newsis.com/view/?id=NISX20220816_0001979507&cID=10601&pID=10600,https://n.news.naver.com/mnews/article/003/0011364894?sid=106,"Tue, 16 Aug 2022 11:29:00 +0900"
805,&apos;우영우&apos; 박은빈·강태오 이별 후유증 포착...채널번호 확인하기,"16일 ENA채널 &apos;이상한 변호사 우영우&apos;(연출 유인식, 극본 문지원) 측은 제주도 출장에서 돌아온 우영우(박은빈 분)와 이준호(강태오 분)의 달라진 일상을 공개했다. 서로의 빈자리를 애써 모른 척하지만 허전한... ",https://www.gukjenews.com/news/articleView.html?idxno=2529630,https://www.gukjenews.com/news/articleView.html?idxno=2529630,"Tue, 16 Aug 2022 11:24:00 +0900"
806,계약의 원칙,임영수/ 서귀포시 총무과 ⓒ헤드라인제주 요즘 인기리에 방영 중인 &apos;이상한 변호사 우영우&apos;에 나왔던 에피소드 중에 로또 당첨금에 관련된 이야기가 있었다. 친구들끼리 로또 1등되면 서로 공평하게 나눠갖자는 이야기를... ,http://www.headlinejeju.co.kr/news/articleView.html?idxno=494003,http://www.headlinejeju.co.kr/news/articleView.html?idxno=494003,"Tue, 16 Aug 2022 11:24:00 +0900"
